,condition,retroScoreTotal,retroPacmanTotal,trustTotal,explSatisfactionRetroAvg,explSatisfactionTrustAvg,age,gender,totalTime,retroSliders,trustSliders,used_Counterfactual_retro,used_Counterfactual_trust,Intention1,Intention2,Intention3
10,0,2,2,4,4.25,4.5,41.0,2.0,962.23,-15.0,-30.0,0.0,0.0,the AI seemed to be trying to eat as many ghosts as possible for a high score,the AI seemed to be trying to get the most points and moving along the path to do so and avoid ghosts.,they seemed to be trying hard to avoid the ghosts
11,1,0,1,2,2.5,3.25,67.0,2.0,637.51,12.99,23.939999999999998,3.0,3.0,The AI agent seems to just be interested in eating as many as possible. Didn't seem to use much strategy at all.,The AI agent was trying to eat power pills to turn the ghost blue. Turning the ghost blue will earn more points if eaten.,The AI agent was trying to get to the left tunnel to get to the other side and avoid the ghost.
12,0,1,1,5,4.5,4.25,33.0,1.0,835.5799999999999,-15.0,-30.0,0.0,0.0,"They seemed to prioritize and go after the pills, both small and big. Ghosts were ate, but it simply seemed to be whenever they got in the way rather than a priority. So ultimately their goal was simply to collect points off pills and beat the level.",It was focused on clearing the board of pills and had zero focus on the ghosts other than the one who got in their way once. Movements suggest actively going away from blue ghosts and disregarding their point value for the chance of clearing the board of pills.,Avoid the ghosts at all costs. Not a lot of pills are taken up on screen and every action has to do with avoiding or running away from a ghost. So they're playing it safe.
13,0,2,3,2,3.0,2.75,40.0,1.0,253.44,-15.0,-30.0,0.0,0.0,Seems to be going for the power pills.,Seemed to be going for the power pills.,"Seems to have no apparent strategy, seems random."
14,2,3,2,5,3.75,3.5,37.0,1.0,1152.15,15.0,-6.0,3.0,3.0,It appeared to me pacman would target ghosts that were blue,It looked to me that pacman would go for power pills if they were close and available ,Pacman was trying to avoid the ghosts by using the tunnels if possible
15,1,0,1,2,2.5,2.75,32.0,1.0,291.91,15.0,5.140000000000001,3.0,3.0,Pac-Man appears to be attempting to keep the board clear of ghosts by eating as many of them as possible.,Pac-Man appears to simply be avoiding the ghosts and trying to maximize normal pills for bulk points,I am not sure but I think Pac-Man is trying to avoid ghosts and power pills until he can collect cherries to maximizes the points per round?
16,1,2,2,4,2.25,2.0,28.0,1.0,484.75999999999993,13.799999999999999,7.0,1.0,2.0,The AI agent here seemed to prioritize blue ghosts over normal pills. The AI most likely was going for higher points by eating as many ghosts as possible. Or keeping the ghosts away by eating them in their blue form.,The AI agent was trying to eat as many power pills as possible to get more points from eating blue ghosts.,The AI agent was trying to avoid the ghosts while eating pills. 
17,0,1,1,3,4.0,4.25,49.0,2.0,758.2500000000001,-15.0,-30.0,0.0,0.0,The agent seemed to want to eat as many regular pills as possible and tried to get the power pills so that it could eat the ghosts before they changed back to normal. ,"This agent ate the pills and power pills, but seemed to avoid the ghosts so it could eat more regular pills to gain points. I think it ate the power pills so the ghosts wouldn't harm pac man, so then the agent could get more points by eating more pills. ",This agent seemed like it wanted to get away from the ghosts to prevent pac man from dying. It also liked to move to escape through the tunnel on the side of the screen. 
18,0,1,0,3,2.5,2.75,43.0,1.0,309.82,-15.0,-30.0,0.0,0.0,It was going for the power pills so it could eat the ghosts.,It was trying to eat as many power pills as possible.,It was trying to avoid the ghosts.
19,0,1,1,5,3.25,3.25,39.0,1.0,581.32,-15.0,-30.0,0.0,0.0,Get power pills and then eat blue ghosts,Get power pills and eat ghosts,Allow ghosts to get close enough to be predictable and then move away
20,2,2,0,2,3.5,4.0,32.0,1.0,442.66999999999996,14.88,25.080000000000002,3.0,3.0,The AI is trying to take a route to get the most normal pills while avoiding the ghosts.,The AI is prioritizing getting the power pills.,The AI is trying to avoid getting hit by the ghosts
21,2,0,0,3,2.25,2.5,40.0,1.0,788.1100000000001,15.0,30.0,3.0,3.0,The AI seems to want to eat more blue ghosts and also collect more nearby pills.,The AI seems to want to primarily avoid the ghosts and also eat blue ghosts if they're nearby.,The AI seems primarily focused on eating normal pills and isn't so worried about the ghosts or other objects.
22,0,1,2,3,3.5,3.25,40.0,2.0,629.64,-15.0,-30.0,0.0,0.0,To go around and collect the pills.,To collect the pills and to avoid the ghost.,To collect the pills and to keep away from the ghost.
23,1,1,0,3,3.5,2.5,63.0,1.0,999.55,14.93,-0.28000000000000025,3.0,3.0,The AI wanted to move away from the ghosts if they were changing color.,Pac man only wants to eat the power pill when the ghosts are close enough to eat.,The AI agent wants pacman to avoid ghosts and eat regular pills.
24,2,2,2,2,3.0,3.0,37.0,2.0,290.41999999999996,15.0,30.0,3.0,3.0,it wanted to eat the ghosts after getting power pills,it wanted to get power pills with pacman,it avoided ghosts as much as possible with pacman
25,1,3,3,2,1.0,1.0,36.0,1.0,365.16,15.0,-24.0,3.0,3.0,"I have no clue. The images don't tell me much of anything and again, the counterfactuals are so poor in quality that they add no information, even if I try to use them.","Pacman appears to be going after the power pills here, again I can only really glean information from the original images even though I'm trying to see what the counterfactuals are telling me. But the quality is so bad they're almost useless.","I think its trying to avoid the ghosts? It seems to want to move away from the ghosts, as Pacman. But the images are really poor quality and it is very hard to see what is even happening in most of the counterfactuals."
26,2,2,2,2,4.0,4.5,51.0,2.0,610.24,15.0,12.86,3.0,3.0,I feel like the pacman is trying to get the blue ghosts quickly before they turn back,I feel like pacman was focused on eating the power pill to try and eat the blue ghosts,The pacman was really trying to avoid the ghosts 
27,1,2,1,5,2.5,1.25,38.0,1.0,372.5,15.0,-30.0,3.0,0.0,"The ghosts are blue and edible for pacman, so they are trying to head in the blue ghost's direction to eat them.",Pacman is getting to the power pill so they can eat the ghosts and get more points.,Pacman is too close to a ghost and is trying to get away.
28,0,1,1,2,3.75,4.0,43.0,1.0,323.04999999999995,-15.0,-30.0,0.0,0.0,The strategy is to eat the power pills so pac man can pick gather points undisturbed.,Pac Man's strategy is to collect power pills and eat the blue ghosts.,Pac Man's strategy is primarily to avoid getting eaten by the ghosts
29,1,2,2,2,3.5,3.5,32.0,1.0,514.2399999999999,13.0,22.0,3.0,3.0,The AI recognizes that the ghosts are blue and is predicting their movement to get closer to them. ,The AI is trying to predict the pattern of the blue ghosts and moving closer to them. It seems like it also wants to avoid walls where it's movement would be limited.,The AI has limited options and is trying to hit the ghosts in an attempt to end the game or because it believes they are blue.
30,0,2,2,3,4.0,3.5,32.0,2.0,1290.9599999999998,-15.0,-30.0,0.0,0.0,To use the power pills to turn ghosts blue and get the blue ghosts for more points,To use the power pills to turn the ghosts blue in order to score more points,To avoid the ghosts as much as possible
31,0,1,0,3,3.25,3.0,40.0,2.0,566.6800000000001,-15.0,-30.0,0.0,0.0,"This agent seemed more aggressive in going after the blue ghosts, and otherwise seemed to just be trying to clear the board and get all of the little pills taken care of. ",It seems like they're just trying to clear the board and avoid ghosts. It moved away from a ghost it could've eaten and was always going towards little dots/pills. ,"In every picture, the pacman is running away from an active ghost...so it seems like they must play a very risky style game where they're often close to ghosts and have run away at the very last second, or they're not really paying attention to the ghost until they're right next to it. "
32,1,1,1,3,3.5,4.0,45.0,2.0,1267.1100000000001,15.0,-12.0,2.0,3.0,"This AI agent mostly seems to be eating power pills and then going after the blue ghosts in order to eat them, and trying to take the shortest course of action to get one of the ghosts. That being said, the final image isn't one of blue ghosts, so the strategy in this image is different. In this one the motivation seems to be to go after the normal pills and make sure all of those are getting eaten.","This AI agent was hard to figure out, and its movements confused me. They are motivated to eat power pellets, but seemed to almost be avoiding things such as cherries and blue ghosts, and going after a power pellet when the ghosts were already blue. They were doing the opposite of what I would expect for game play. ","As opposed to the previous AI agent, this one seems motivated mostly by attempting to avoid being eaten. Rather than going after power pellets and blue ghosts, the AI agent is trying to help Pacman avoid active ghosts that are chasing Pacman. Pacman's location to the ghosts was close, so the AI was attempting to make a quick move to get away. In this example, the counterfactual images were very blurry and it was hard to tell what was going on, so they didn't provide a lot of assistance in making a decision."
33,0,0,1,2,3.0,3.0,36.0,1.0,267.07000000000005,-15.0,-30.0,0.0,0.0,They seemed to want to get bonus points from eating ghosts.,Use power pills when in danger to stay safe.,Use power pellets to eat ghosts for more points.
35,0,1,1,5,4.25,4.0,56.0,1.0,766.24,-15.0,-30.0,0.0,0.0,The AI agent is using the power pill to turn the ghosts blue,The AI agent is using the power pills to turn the ghosts blue but is using the blue time to eat as many normal pills as possible,The AI agent is doing it's best to avoid getting eaten by the ghosts.
36,0,1,1,2,3.0,3.0,33.0,1.0,272.59,-15.0,-30.0,0.0,0.0,"It ate the power pill, then chased and ate some of the ghosts. ","It ate a power pill, ate some ghosts, and kept moving along ",It seemed to try and get hit as much as it could 
37,2,3,3,3,4.75,4.5,32.0,1.0,581.9399999999999,15.0,-8.0,3.0,3.0,I think the AI strategy this time was to consume the blue ghosts for points.  On multiple of the scenarios above it seems like the AI is making Pacman go towards the ghosts that have been turned blue from the power pill.,I believe the strategy the AI agent used was to make Pacman get the power pills so that he can eat the ghosts. ,I believe the AI agent decided to switch the Pacman with one of the ghosts. I believe this because on each of the above scenarios the counterfactual action seemed to place Pacman from one place to one a ghost used to occupy .
39,1,1,3,3,1.75,1.75,48.0,1.0,304.98,15.0,-30.0,3.0,3.0,"For most of them it seems to be going towards the regular pills, but one it doesn't.","It's hard to tell, I think it's just going for regular pills, but sometimes it went for a blank space.",Avoid the ghosts.
40,1,1,0,2,4.0,4.0,45.0,1.0,426.9,13.0,-22.0,3.0,3.0,get the power pills and hunt ghosts.,to collect power pills. seems to ignore ghosts entirely,to collect pills and avoid the ghosts
41,0,1,1,5,4.0,4.0,52.0,1.0,539.06,-15.0,-30.0,0.0,0.0,The AI agent's strategy was to chase down the blue ghosts to score points.,The AI agent went for the power pills in order to turn the ghosts blue so that it could score points by eating them.,The AI agent's strategy was to evade the ghosts at all costs.
42,1,2,2,5,4.0,4.0,39.0,1.0,340.7,14.450000000000001,19.94,3.0,3.0,It's goal was to eat as many blue ghosts as possible.,Eating power pills so it can get the blue ghosts,Honestly it seems it's trying to avoid any collision with ghosts at all costs.
43,2,3,3,3,3.75,3.75,40.0,2.0,387.35,14.27,10.0,3.0,3.0,He made his moves based on when the ghosts were blue. ,He avoided the ghosts and tried to get power pills.,He tried to escape the ghosts but failed. 
45,1,0,0,2,4.5,4.0,35.0,2.0,458.36,2.2699999999999996,-16.91,3.0,2.0,to eat ghost by getting power pills,to get power pills in order to eat normal pills ,to get as many power pills as possible 
46,0,1,1,3,4.0,4.25,51.0,1.0,295.62,-15.0,-30.0,0.0,0.0,He went after the power pills in an aggressive strategy to eat ghosts.,He ate the powerpills before trying to clear the maze.,"Tried to eat power pills, but seemed on the run"
47,1,0,2,3,4.25,4.0,46.0,2.0,786.5999999999999,9.84,14.41,3.0,3.0,To get to the pills and void the ghosts.,To get to the power pills to chase after the ghosts to get the most points.,To avoid the ghosts until they reach a power pill.
48,1,1,1,3,3.75,3.75,52.0,1.0,567.99,15.0,-20.0,3.0,3.0,it looks like the AI is trying to clear the board of pills by turning the ghosts blue to gain more access to the pills. ,I suppose the strategy in this scenario would be to eat the power pill to get to the blue ghosts to eat them as well. ,it seems to me that the goal here was to use the Pacman to avoid the ghosts by using the tunnels more to clear the board. 
50,0,0,0,3,4.0,5.0,38.0,1.0,646.69,-15.0,-30.0,0.0,0.0,"Again, ghosts are nearly always blue and being sent to the middle, showing that the AI was trying to eat them most of the time.","The ghosts are frequently blue, so the AI seems to be targeting them to eat.  Pacman is also frequently at the power pills to turn them blue again.","Since the ghosts are always very close, the AI doesn't seem to be avoiding them.  It only seems interested in going after the pills.  Also, there are never cherries on the screen, so it can't be focusing on them."
51,0,1,1,5,4.75,4.75,31.0,1.0,504.59,-15.0,-30.0,0.0,0.0,The AI agent was focused on eating power pills and eating nearby ghosts. They wanted to stay safe by eating power pills and moving around the grid.,The AI agent was focused on power pill and blue ghosts. They can avoid the ghosts by using the power pills and they can move safely around the grid.,They were just controlling Pac Man and trying to avoid the ghosts that were chasing them. They were using the tunnel to avoid the ghosts.
52,2,1,0,3,3.5,3.5,33.0,2.0,715.22,15.0,11.530000000000001,3.0,3.0,The AI agent wanted to eat small pills that would give it points and it also wanted to eat blue ghosts that would give it even more points.,"The strategy of the AI agent was to eat large pills that gave the most points. Secondly, the agent also wanted to eat small pills that also gave points. Thirdly, the agent wanted to avoid ghosts that would make it die.",The AI agent wanted to avoid green ghosts that would make it die.
53,1,1,2,5,3.75,4.0,36.0,1.0,567.8,15.0,26.0,3.0,3.0,The AI was trying to get the blue ghosts and the normal pills,The AI was trying to get the power pill and avoid the ghost,The AI agent was trying to survive by avoiding the ghosts
54,0,1,1,3,4.5,4.75,50.0,2.0,719.49,-15.0,-30.0,0.0,0.0,"The AI is trying to eat the power pills, turn the ghosts blue and eat them so that they are out of the way and Pac Man can clear the pills from the board.",the AI agent is eating the power pills first to turn the ghosts blue and eat them so that the Pac Man has more time to eat the normal pills and clear the board.,The AI agent is using the tunnels to slow down the ghosts so that it can clear the normal pills and power pills from the board. By slowing down the ghosts Pac man can clear the board without being eaten.
55,2,1,2,3,2.0,2.0,34.0,1.0,1121.29,13.0,-14.0,3.0,3.0,"This agent's primary goal is to chomp up the ghost baddies, and it displays some talent in predicting where the ghosts will be. In order for the counterfactual statement to be true, it will do things such as assume it's gobbled up the ghost baddie already in its path so it's free to move in the prompted direction, or moving the ghost baddies TO the prompted direction so it would make more sense for it to move there. This agent knows how to play the game","It's very hard to make sense of what the AI is doing to make the counterfactual statement true. Most of the time it results in pacman simply disappearing from the game altogether. It did not seem to be attempting to change the situation so that it would be in the path of a pill, or gobble a ghost. It's answer was just to kind of do nothing or poof altogether. Very confusing behavior and I can't make sense of it.","The only conclusion I can draw is that this AI isn't aware of how pacman works? It knows to avoid ghosts, but when you prompt it to 'move up' instead of 'move down', it's action becomes a paradox. It can't move up without dying. So... it seems to just magically teleport itself across the entire map into a position where it can move up (and away from a ghost). This one is very confusing to me. Every single counterfactual image is just an image that defies all sense of logic in the rules of the game and involves pacman warping great distances to make the moves. Maybe I'm misunderstanding something, but it seems this agent is incapable of sticking to the prompt without breaking the laws of the game itself."
57,1,2,1,5,3.5,3.25,35.0,1.0,673.88,15.0,19.13,3.0,3.0,THe AI agent moved to eat nearby blue ghosts or a power pill if the ghosts were normal.,The AI agent attempted to move towards a power pill if one was nearby. It did not consistently change any strategy based on any other objects.,The AI agent consistently made moves in a direction to avoid ghosts.
58,0,0,2,2,4.5,4.5,43.0,2.0,394.48,-15.0,-30.0,0.0,0.0,Pacman was trying to eat the pills. ,Pacman is trying to stay away from the blue ghosts to eat the pills.,The pacman is trying to get away from the ghosts. 
59,0,0,0,3,3.75,3.5,43.0,1.0,482.04,-15.0,-30.0,0.0,0.0,To collect all of the pills and to stay away from the ghosts.,That way you can get the power pills and kill the ghost.,To get all of the pills and to keep away from the ghost.
61,2,2,2,4,3.5,3.5,42.0,1.0,440.53000000000003,15.0,-30.0,3.0,3.0,The AI agent will actively pursue blue ghosts,The AI agent will attempt to get a power pill and then pursue the ghosts while they're blue,The AI agent will move away from ghosts at all times
62,0,1,0,5,2.75,2.75,38.0,2.0,758.3999999999999,-15.0,-30.0,0.0,0.0,Earn points by eating ghosts,I believe they are simply using the super pills in order to be safe to get as many regular pills as possible.,trying to avoid the ghosts
63,1,2,0,3,3.0,3.25,42.0,2.0,4289.0,15.0,2.0,3.0,3.0,It's primarily trying to catch blue ghosts. ,It looks like the AI is primarily trying to eat the power pills and catch the blue ghosts. ,The AI was focused on avoiding the ghosts. 
64,0,0,1,2,4.0,4.0,50.0,1.0,660.3100000000001,-15.0,-30.0,0.0,0.0,It appears that the agent was trying to consume the super pills to be able to consume the blue ghost.,It appears that the AI agent was travelling through the maze not only consuming normal pills but also the super pills to be able to consume the blue ghost.,It appears the AI agent was travelling through the maze to consume as many pills as possible without encountering the ghost.
65,2,1,2,2,3.75,4.0,43.0,2.0,627.05,15.0,29.990000000000002,3.0,3.0,The AI was trying to eat blue ghosts.,"I think that the AI was going after cherrys when they appeared, but also trying to eat as many normal pills as possible.",The AI was trying to avoid the ghosts.
66,2,2,3,2,3.25,2.75,41.0,1.0,431.99,-3.3199999999999994,-30.0,2.0,2.0,I think the strategy of the AI is to avoid the ghosts.  ,The strategy of the AI is to eat the power pellet. ,The strategy of the AI is to avoid the ghosts by going in the opposite directions. 
67,0,0,0,2,3.5,3.5,59.0,2.0,1791.26,-15.0,-30.0,0.0,0.0,The AI agent is to eat the power pill and to eat as many of the blue ghosts as possible,"The AI agent's strategy is to eat the pills closest to the power pill, eat it and the ghosts who are near it

",The AI agent is to eat the dots and the power pill near the tunnel so it can quickly escape the ghosts.
68,2,2,2,3,3.0,3.0,34.0,1.0,701.46,15.0,13.059999999999999,3.0,3.0,"Besides the last picture that I don't really get, the AI seems to generally just trying to maximize how many blue ghosts are in its reach I guess.","I really have no idea what's going on in these, none of them really make sense to me. I don't see why any of the counterfactuals would change what it's doing.",Again none of these made sense. Only one of the counterfactuals made sense where it was clear the position of pacman v the ghosts is what changed.
69,0,2,3,2,4.5,4.5,48.0,1.0,452.28,-15.0,-30.0,0.0,0.0,I think the AI is trying to maneuver away from the ghosts and try to eat as many pills as possible.,"The strategy is a simple one, have pacman eat power pills and eat as many blue ghost along the way.",Pacman is trying to escape the ghosts by going on the other side of the labyrinth.
71,1,1,2,3,4.0,4.0,40.0,2.0,876.53,13.530000000000001,-12.129999999999999,3.0,3.0,It appears to me the primary action of the AI is to collect the power pills.  It does not give attention to collecting the regular pills but focuses its efforts towards eating ghosts after eating the power pills,To me it appears the pacman is simply focused on collecting all the power pills.  in several of the frames it is eating a power pill with no ghosts around it and a power pill already activated. ,I am not actually sure how to answer this.  In the frames the pacman is being collected by the ghosts and losing a life.  in my opinion the AI is simply focused on where it wants pacman to go and giving no thoughts about anything else.
72,0,0,1,5,3.0,3.25,35.0,1.0,673.98,-15.0,-30.0,0.0,0.0,"In most of the images pacman is heading towards blue ghosts, had just ate them, or is heading away from or towards a power pill. It looks like the goal is to eat ghosts. ","As we can see the ghosts are still blue in some images and pacman is still heading for a power pill so I think that is most important to him. It seems like pacman is still going after regular pills as it shows in most images, the ghosts are still alive so pacman isn't really going after them. ","I think the general strategy was to collect pills and avoid ghosts as there were multiple encounters with the ghosts that pacman barely edged away from. I chose pacman, that is the life of pacman, and the pills as the most important objects. "
73,1,2,0,2,2.5,2.5,35.0,2.0,332.03,6.9,-30.0,0.0,0.0,"Seems to be mostly after the pills, I guess.",Mostly seem trying to get power pills.,Seemed mostly trying to avoid the ghosts.
74,0,0,0,3,4.0,3.5,35.0,2.0,192.67999999999998,-15.0,-30.0,0.0,0.0,He seems to focus on power pills/eating blue ghosts,He seems to want to get the power pill and eat the blue ghosts,"The AI seems to be focusing on avoiding ghosts, but it's not working out too well."
75,1,1,0,3,2.25,2.25,31.0,1.0,742.8,14.96,-30.0,3.0,3.0,"The AI appears to prioritize eating blue ghosts. It changes it's movements based on the quickest route to encounter a fleeing blue ghost. But in one image, it runs away from normal ghosts. ","It appears this Ai does not care about getting power pills or eating blue ghosts, but merely to eat normal pills while running away from normal ghosts. It plays a safe strategy of not getting too close to ghosts.","I couldn't tell what Pacman was doing in many of the counterfactual images, but it seems to be a repeat of the same strategy of the previous AI. It runs from normal ghosts, although it seems to play more recklessly because the normal ghosts are frequently close to Pacman."
76,0,0,3,2,4.5,3.75,45.0,2.0,724.6500000000001,-15.0,-30.0,0.0,0.0,this AI used the power pills to eat the ghosts and then concentrated on getting as many regular pills as possible,The Ai avoided the ghost by outrunning them while consuming as many regular pills as possible,The Ai used the right screen- left screen tunnels to avoid ghosts while eating as many regular pills as possible
77,2,2,3,4,3.75,3.75,35.0,2.0,1454.48,15.0,-6.0,3.0,3.0,As the ghosts are blue it seems the AI is trying to move Pacman into them when they are nearby. So the AI is taking Pacman to the closest ghost he can get to. When a ghost isn't that close the AI just has Pacman maneuvering through the labyrinth as usual. ,It seems the AI is trying to get all the pills and is deciding which way to move Pacman based on where there are still pills available nearby.,The AI is trying to avoid being eaten by the ghosts. The AI is often trying to use the tunnels to get Pacman to the other side of the screen to avoid them.
78,2,0,1,3,3.25,4.75,37.0,1.0,491.69,3.27,14.239999999999998,2.0,3.0,To get a better image I move the slider left,Get the power pellets as soon as the ghost try to hit you and collect in one line and one area,Seems like they didn't have a strategy at all those hit they will all get hit by the ghost without the power pellets
79,2,0,1,3,2.5,2.5,41.0,1.0,1328.03,15.0,-30.0,3.0,3.0,?,?,"Go away from the ghosts, unless they are blue and therefore consumable."
80,2,2,1,4,3.75,3.0,35.0,1.0,767.9200000000001,15.0,-30.0,3.0,3.0,Getting points for eating blue ghosts.,It's trying to eat the regular pills.,It's simply trying to avoid the ghosts.
81,2,1,3,2,1.0,1.0,35.0,1.0,302.28,15.0,-20.0,0.0,0.0,Pacman was moving to eat pellets or to go after blue ghosts.,It seems to have been to just either move up or left.,The strategy was to avoid the nearby ghosts.
82,2,3,1,2,3.5,3.0,56.0,1.0,756.87,15.0,29.990000000000002,3.0,3.0,It looks like the AI looked for the blue ghosts.,I think it was looking for the power pills.,The AI performed poorly as it was going for the ghosts to get killed.
83,2,1,2,2,3.5,4.0,56.0,1.0,527.9000000000001,7.0,-26.42,3.0,3.0,eat the power pills before being attacked,To be next to a power pill at all times,to try to get them to follow
86,1,1,2,3,2.25,2.25,44.0,2.0,1460.08,15.0,26.0,3.0,3.0,Their strategy is to eat all the power pills first and eat ghosts.,The AI is trying to eat all of the power pills first.,"The strategy is to get eaten as eat as many pills as possible, even small ones."
87,1,1,3,3,3.5,3.25,36.0,1.0,1639.4499999999998,15.0,-20.0,3.0,3.0,Pacman seemed to be going after the blue ghosts after eating the pill.  So I deduced that pacman cared about getting extra points.,Pacman seemed to only care about eating dots rather than blue ghosts.,Pacman didn't seem interested in escaping the ghosts before they could kill him.
88,1,0,0,5,3.0,3.0,41.0,1.0,451.71999999999997,15.0,-28.0,3.0,3.0,This AI prioritized getting the blue ghosts for points when the ghosts were near. If the ghosts were far the AI chose to get normal pills.,This AI prioritized getting ghosts for points and completing the stage by getting all the normal pills.,This AI seemed to just want to avoid ghosts while accumulating normal pills.
89,1,1,1,3,3.5,3.0,39.0,1.0,802.05,15.0,-26.0,3.0,0.0,To eat the pills ,To gain points by swallowing pills and avoiding ghosts. ,To avoid being eaten by the ghosts
